divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
multiply,20,50
divide,100,5
add,100,200
subtract,10,5
